kyhmyjoutsen
taivaanvuohi
amerikantaivaanvuohi
heinäkurppa
siperiankurppa
pääskykahlaaja
aropääskykahlaaja
aavikkojuoksija
leveäpyrstökihu
merikihu
tunturikihu
isokihu
mustanmerenlokki
nokisiipilokki
preerianaurulokki
pikkulokki
tiiralokki
naurulokki
kaitanokkalokki
välimerenlokki
kalalokki
selkälokki
harmaalokki
etelänharmaalokki
aroharmaalokki
ohotanlokki
grönlanninlokki
isolokki
merilokki
ruusulokki
pikkukajava
jäälokki
hietatiira
räyskä
riuttatiira
kalatiira
lapintiira
pikkutiira
valkoposkitiira
mustatiira
valkosiipitiira
etelänkiisla
pohjankiisla
ruokki
riskilä
pikkuruokki
lunni
arokyyhky
kesykyyhky
uuttukyyhky
sepelkyyhky
turkinkyyhky
turturikyyhky
idänturturikyyhky
palmukyyhky
kauluskaija
jakobiinikäki
harakkakäki
käki
idänkäki
tornipöllö
kyläpöllönen
huuhkaja
tunturipöllö
hiiripöllö
varpuspöllö
minervanpöllö
lehtopöllö
viirupöllö
lapinpöllö
sarvipöllö
suopöllö
helmipöllö
kehrääjä
piikkipyrstökiitäjä
alppikiitäjä
tervapääsky
vaaleakiitäjä
kafferikiitäjä
kuningaskalastaja
vihermehiläissyöjä
mehiläissyöjä
sininärhi
harjalintu
käenpiika
harmaapäätikka
vihertikka
palokärki
käpytikka
tammitikka
valkoselkätikka
pikkutikka
pohjantikka
arokiuru
ylänkökiuru
valkosiipikiuru
mustakiuru
lyhytvarvaskiuru
pikkukiuru
töyhtökiuru
kangaskiuru
kiuru
tunturikiuru
törmäpääsky
kalliopääsky
haarapääsky
ruostepääsky
räystäspääsky
isokirvinen
mongoliankirvinen
nummikirvinen
taigakirvinen
metsäkirvinen
tundrakirvinen
niittykirvinen
lapinkirvinen
luotokirvinen
keltavästäräkki
sitruunavästäräkki
virtavästäräkki
västäräkki
englanninvästäräkki
tilhi
koskikara
peukaloinen
rautiainen
taigarautiainen
mustakurkkurautiainen
alppirautiainen
ruostepyrstö
punarinta
satakieli
etelänsatakieli
rubiinisatakieli
sinirinta
valkotäpläsinirinta
sinipyrstö
mustaleppälintu
leppälintu
vuorileppälintu
pensastasku
sepeltasku
mustapäätasku
nokitasku
arotasku
kivitasku
nunnatasku
rusotasku
aavikkotasku
kivikkorastas
sinirastas
kirjorastas
korpirastas
sepelrastas
mustarastas
harmaakurkkurastas
ruosterastas
ruostesiipirastas
mustakaularastas
punakaularastas
räkättirastas
laulurastas
punakylkirastas
kulorastas
sarasirkkalintu
viirusirkkalintu
pensassirkkalintu
viitasirkkalintu
ruokosirkkalintu
paksunokkakerttunen
sarakerttunen
ruokokerttunen
rytikerttunen
luhtakerttunen
viitakerttunen
kenttäkerttunen
rastaskerttunen
vaaleakultarinta
pikkukultarinta
aavikkokultarinta
kultarinta
mustapääkerttu
lehtokerttu
kirjokerttu
hernekerttu
pensaskerttu
kääpiökerttu
ruskokerttu
rusorintakerttu
samettipääkerttu
mustakurkkukerttu
amurinuunilintu
kaukasianuunilintu
burjatianuunilintu
idänuunilintu
lapinuunilintu
hippiäisuunilintu
taigauunilintu
kashmirinuunilintu
siperianuunilintu
ruskouunilintu
vuoriuunilintu
balkaninuunilintu
sirittäjä
iberiantiltaltti
tiltaltti
idäntiltaltti
pajulintu
hippiäinen
tulipäähippiäinen
harmaasieppo
pikkusieppo
sepelsieppo
kirjosieppo
viiksitimali
pyrstötiainen
viitatiainen
hömötiainen
lapintiainen
töyhtötiainen
kuusitiainen
sinitiainen
valkopäätiainen
talitiainen
pähkinänakkeli
puukiipijä
pussitiainen
kuhankeittäjä
punapyrstölepinkäinen
pikkulepinkäinen
mustaotsalepinkäinen
isolepinkäinen
etelänisolepinkäinen
punapäälepinkäinen
valko-otsalepinkäinen
närhi
kuukkeli
harakka
pähkinähakki
naakka
idännaakka
mustavaris
varis
nokivaris
korppi
kottarainen
punakottarainen
kiinankottarainen
viirupääkottarainen
pihamaina
varpunen
pensasvarpunen
pikkuvarpunen
peippo
järripeippo
keltahemppo
kanarianhemppo
sitruunahemppo
viherpeippo
tikli
vihervarpunen
hemppo
vuorihemppo
urpiainen
ruskourpiainen
tundraurpiainen
kirjosiipikäpylintu
pikkukäpylintu
isokäpylintu
aavikkotulkku
punavarpunen
taviokuurna
pyrstötulkku
punatulkku
nokkavarpunen
japaninnokkavarpunen
viirukerttuli
kettusirkku
valkokurkkusirkku
lapinsirkku
pulmunen
harmaapääsirkku
mäntysirkku
keltasirkku
kivikkosirkku
peltosirkku
ruostekurkkusirkku
pohjansirkku
pikkusirkku
kastanjasirkku
kultasirkku
pajusirkku
ruskopääsirkku
mustapääsirkku
harmaasirkku
niittysirkku
kultatöyhtösirkku
indigokardinaali
turkoosikardinaali
sateenkaarikardinaali
